Date,Ticker,Close,Volume
2024-09-03,SCCO,91.976,1655088
2024-09-03,SGML,9.8,1728050
2024-09-03,SID,1.9272,1481830
2024-09-03,SQM,36.37,1324000
2024-09-03,STN,80.5817,122079
2024-09-03,SUPV,7.2747,1279300
2024-09-03,TBBB,29.92,452000
2024-09-03,TGLS,59.2038,243500
2024-09-03,TGS,19.18,164543
2024-09-03,TS,27.9299,4308200
2024-09-03,TV,1.7083,3825600
2024-09-03,TX,29.7301,313700
2024-09-03,UGP,3.9099,1162119
2024-09-03,VALE,9.5353,40044400
2024-09-03,VINP,9.7143,72000
2024-09-03,VIST,49.09,1310960
2024-09-03,VLRS,5.66,669847
2024-09-03,VSTA,2.23,1317660
2024-09-03,VTEX,6.71,495400
2024-09-03,XP,17.538,8760300
2024-09-03,YPF,23.25,3081400
2024-09-03,ZENV,1.71,11400
2024-09-04,ABEV,2.159,18953900
2024-09-04,AFYA,16.5843,182400
2024-09-04,AGRO,10.8105,778969
2024-09-04,AMX,15.6543,2454005
2024-09-04,ARCO,8.4671,1167900
2024-09-04,ASR,247.154,38300
2024-09-04,AUNA,6.91,144800
2024-09-04,AVAL,1.9581,16700
2024-09-04,BAK,6.61,708530
2024-09-04,BAP,159.4789,268300
2024-09-04,BBAR,11.47,2373805
2024-09-04,BBD,2.5929,15794040
2024-09-04,BCH,23.0281,133226
2024-09-04,BLX,29.4277,86500
2024-09-04,BMA,64.49,514906
2024-09-04,BRFS,4.3951,2556505
2024-09-04,BSAC,19.1408,175200
2024-09-04,BSBR,5.4029,124000
2024-09-04,BVN,11.4905,703200
2024-09-04,CAAP,14.56,274000
2024-09-04,CBDBY,0.49,8900
2024-09-04,CCU,10.437,80000
2024-09-04,CEG,176.6695,3310400
2024-09-04,CEPU,9.2178,585300
2024-09-04,CIB,25.3919,492700
2024-09-04,CINT,6.8,106922
2024-09-04,CPA,83.896,144000
2024-09-04,CPAC,5.1175,5238
2024-09-04,CX,5.6906,14131300
2024-09-04,DESP,12.24,477294
2024-09-04,DLO,8.1262,676700
2024-09-04,EC,8.333,2180700
2024-09-04,EDN,19.93,103024
2024-09-04,ERJ,34.7554,2593900
2024-09-04,EVEX,2.71,89650
2024-09-04,FMX,99.0613,608400
2024-09-04,GGAL,42.0394,3046755
2024-09-04,GGB,3.1306,5986600
2024-09-04,GLOB,199.75,411807
2024-09-04,GPRK,7.6969,301600
2024-09-04,IFS,24.2142,57195
